王大一	131181199901012113	王家村	7000	131181199901012113	A01
王小二	131181199901022113	王家村	5000	131181199901012113	A01
王三	131181199901032113	王家村	3000	131181199901012113	A01
王四	131181199901042113	王家村	3000	131181199901012113	A01
王五	131181199901052113	王家村	3000	131181199901012113	A01
王六	131181199901062113	王家村	3000	131181199901012113	A01
王七	131181199901072113	王家村	3000	131181199901012113	A01
王八	131181199901082113	王家村	3000	131181199901012113	A01
王九	131181199901092113	王家村	3000	131181199901012113	A01
王十	131181199901102113	王家村	3000	131181199901012113	A01
张大一	131181199902012123	张家村	5000	131181199902102123	A02
张小二	131181199902022123	张家村	3000	131181199902102123	A02
张三	131181199902032123	张家村	2000	131181199902102123	A02
张四	131181199902042123	张家村	2000	131181199902102123	A02
张五	131181199902052123	张家村	2000	131181199902102123	A02
张六	131181199902062123	张家村	2000	131181199902102123	A02
张七	131181199902072123	张家村	3000	131181199902102123	A02
张八	131181199902082123	张家村	3000	131181199902102123	A02
张九	131181199902092123	张家村	3000	131181199902102123	A02
张红	131181199902102123	张家村	5000	131181199902102123	A02
李大一	131181199903012133	李家村	10000	131181199903012133	B01
李小二	131181199903022133	李家村	3000	131181199903012133	B01
李三	131181199903032133	李家村	6000	131181199903012133	B01
李四	131181199903042133	李家村	6000	131181199903012133	B01
李五	131181199903052133	李家村	6000	131181199903012133	B01
李六	131181199903062133	李家村	6000	131181199903012133	B01
李七	131181199903072133	李家村	6000	131181199903012133	B01
李八	131181199903082133	李家村	6000	131181199903012133	B01
李九	131181199903092133	李家村	6000	131181199903012133	B01
李十	131181199903102133	李家村	6000	131181199903012133	B01
刘大一	131181199904012143	刘家村	4000	131181199904022143	B02
刘小二	131181199904022143	刘家村	3000	131181199904022143	B02
刘三	131181199904032143	刘家村	2000	131181199904022143	B02
刘四	131181199904042143	刘家村	2000	131181199904022143	B02
刘五	131181199904052143	刘家村	2000	131181199904022143	B02
刘六	131181199904062143	刘家村	1500	131181199904022143	B02
刘七	131181199904072143	刘家村	2000	131181199904022143	B02
刘八	131181199904082143	刘家村	1100	131181199904022143	B02
刘九	131181199904092143	刘家村	1100	131181199904022143	B02
刘十	131181199904102143	刘家村	1100	131181199904022143	B02
孙大一	131181199905012153	孙村	9000	131181199905032153	C10
孙小二	131181199905022153	孙村	8000	131181199905032153	C10
孙三	131181199905032153	孙村	10000	131181199905032153	C10
孙四	131181199905042153	孙村	2000	131181199905032153	C10
孙五	131181199905052153	孙村	2563	131181199905032153	C10
孙六	131181199905062153	孙村	2563	131181199905032153	C10
孙七	131181199905072153	孙村	6000	131181199905032153	C10
孙八	131181199905082153	孙村	6000	131181199905032153	C10
孙九	131181199905092153	孙村	3450	131181199905032153	C10
孙张红十	131181199905102153	孙村	1100	131181199905032153	C10
